id,ball,over,runs,shortText,text,preText,postText,isWide,isNoball,isRetiredHurt,isBoundary,currentBatsmen,currentBowlers,currentInning,ballTimestamp,matchOver,matchWicket
21050,4,2,0,"Pattinson to Vijay, no run","<b>big lbw apeal after he's foxed by the slower ball.</b> They decide against the review. That was superbly done by Pattinson. Vijay trapped in the crease after the last three deliveries. This is a good length ball, tossed up. Vijay absolutely static, reaching well in front of the body to try and lift it over the leg side. It looked very good, but they decide against the review. So so close. Did they think it was lifting over the stumps?",,,FALSE,FALSE,FALSE,FALSE,"[{'id': '237095', 'name': 'Murali Vijay', 'runs': 1, 'balls': 5}, {'id': '44828', 'name': 'Faf du Plessis', 'runs': 0, 'balls': 0}]","[{'id': '272465', 'name': 'James Pattinson', 'overs': 0.4, 'maidens': 0, 'runs': 1, 'wickets': 0}, {'id': '277912', 'name': 'Trent Boult', 'overs': 1, 'maidens': 0, 'runs': 5, 'wickets': 1}]","{'id': '226053', 'balls': 10, 'runs': 6, 'wickets': 1, 'team': {'name': 'Chennai Super Kings', 'shortName': 'CSK'}}",1.60E+12,,
21040,3,2,0,"Pattinson to Vijay, no run","length at off stump, punched firmly from the crease to mid-on",,,FALSE,FALSE,FALSE,FALSE,"[{'id': '237095', 'name': 'Murali Vijay', 'runs': 1, 'balls': 4}, {'id': '44828', 'name': 'Faf du Plessis', 'runs': 0, 'balls': 0}]","[{'id': '272465', 'name': 'James Pattinson', 'overs': 0.3, 'maidens': 0, 'runs': 1, 'wickets': 0}, {'id': '277912', 'name': 'Trent Boult', 'overs': 1, 'maidens': 0, 'runs': 5, 'wickets': 1}]","{'id': '226053', 'balls': 9, 'runs': 6, 'wickets': 1, 'team': {'name': 'Chennai Super Kings', 'shortName': 'CSK'}}",1.60E+12,,
21030,2,2,0,"Pattinson to Vijay, no run","short outside off, another languid swish at that. It's off the inside edge to midwicket",,,FALSE,FALSE,FALSE,FALSE,"[{'id': '237095', 'name': 'Murali Vijay', 'runs': 1, 'balls': 3}, {'id': '44828', 'name': 'Faf du Plessis', 'runs': 0, 'balls': 0}]","[{'id': '272465', 'name': 'James Pattinson', 'overs': 0.2, 'maidens': 0, 'runs': 1, 'wickets': 0}, {'id': '277912', 'name': 'Trent Boult', 'overs': 1, 'maidens': 0, 'runs': 5, 'wickets': 1}]","{'id': '226053', 'balls': 8, 'runs': 6, 'wickets': 1, 'team': {'name': 'Chennai Super Kings', 'shortName': 'CSK'}}",1.60E+12,,
21020,2,2,1,"Pattinson to Vijay, 1 wide","short of a length and down leg side, beaten on the flick",,,TRUE,FALSE,FALSE,FALSE,"[{'id': '237095', 'name': 'Murali Vijay', 'runs': 1, 'balls': 2}, {'id': '44828', 'name': 'Faf du Plessis', 'runs': 0, 'balls': 0}]","[{'id': '272465', 'name': 'James Pattinson', 'overs': 0.1, 'maidens': 0, 'runs': 1, 'wickets': 0}, {'id': '277912', 'name': 'Trent Boult', 'overs': 1, 'maidens': 0, 'runs': 5, 'wickets': 1}]","{'id': '226053', 'balls': 7, 'runs': 6, 'wickets': 1, 'team': {'name': 'Chennai Super Kings', 'shortName': 'CSK'}}",1.60E+12,,
21010,1,2,0,"Pattinson to Vijay, no run","<b>beats the inside edge.</b> Banged short of a good length, jagging in off the seam. Vijay swishing away from the body for the one that goes straight on",<p>Pattinson from the other end.</p>,,FALSE,FALSE,FALSE,FALSE,"[{'id': '237095', 'name': 'Murali Vijay', 'runs': 1, 'balls': 2}, {'id': '44828', 'name': 'Faf du Plessis', 'runs': 0, 'balls': 0}]","[{'id': '272465', 'name': 'James Pattinson', 'overs': 0.1, 'maidens': 0, 'runs': 0, 'wickets': 0}, {'id': '277912', 'name': 'Trent Boult', 'overs': 1, 'maidens': 0, 'runs': 5, 'wickets': 1}]","{'id': '226053', 'balls': 7, 'runs': 5, 'wickets': 1, 'team': {'name': 'Chennai Super Kings', 'shortName': 'CSK'}}",1.60E+12,,
260,6,1,0,"Boult to Watson, OUT",<b>massive appeal and he's given lbw.</b> Won't review it. That is dead in front. Full and swinging in sharply from off stump. Watson looking to drive for the initial line. Front leg is in the leg side and this thuds into the back one. Long appeal and then a long wait before Virender Sharma lifts the finger,,,FALSE,FALSE,FALSE,FALSE,"[{'id': '8180', 'name': 'Shane Watson', 'runs': 4, 'balls': 5}, {'id': '237095', 'name': 'Murali Vijay', 'runs': 1, 'balls': 1}]","[{'id': '277912', 'name': 'Trent Boult', 'overs': 1, 'maidens': 0, 'runs': 5, 'wickets': 1}, {'overs': 0, 'maidens': 0, 'runs': 0, 'wickets': 0}]","{'id': '226053', 'balls': 6, 'runs': 5, 'wickets': 1, 'team': {'name': 'Chennai Super Kings', 'shortName': 'CSK'}}",1.60E+12,"{'maiden': False, 'runs': 5, 'wickets': 1, 'totalRuns': 5, 'totalWicket': 1, 'runRate': 5, 'requiredRunRate': '8.31', 'batsmen': [{'id': '8180', 'name': 'Shane Watson', 'runs': 4, 'balls': 5}, {'id': '237095', 'name': 'Murali Vijay', 'runs': 1, 'balls': 1}], 'bowlers': [{'id': '277912', 'name': 'Trent Boult', 'overs': 1, 'maidens': 0, 'runs': 5, 'wickets': 1}, {'overs': 0, 'maidens': 0, 'runs': 0, 'wickets': 0}], 'teamShortName': 'CSK', 'remainingOvers': 19, 'remainingBalls': 114, 'remainingRuns': '158'}","{'id': '8180', 'batsmanName': 'Shane Watson', 'bowlerName': 'Trent Boult', 'batsmanRuns': 4, 'batsmanBalls': 5, 'text': 'SR Watson lbw b Boult 4 (5b 1x4 0x6) SR: 80.00'}"
250,5,1,4,"Boult to Watson, FOUR runs","<b>lifts it over the off-side infield.</b> Classic Watson. Classy Watson. Full and wide outside off, down on his back knee like he does and from there, he just goes over. Sweetly executed",,,FALSE,FALSE,FALSE,TRUE,"[{'id': '8180', 'name': 'Shane Watson', 'runs': 4, 'balls': 4}, {'id': '237095', 'name': 'Murali Vijay', 'runs': 1, 'balls': 1}]","[{'id': '277912', 'name': 'Trent Boult', 'overs': 0.5, 'maidens': 0, 'runs': 5, 'wickets': 0}, {'overs': 0, 'maidens': 0, 'runs': 0, 'wickets': 0}]","{'id': '226053', 'balls': 5, 'runs': 5, 'wickets': 0, 'team': {'name': 'Chennai Super Kings', 'shortName': 'CSK'}}",1.60E+12,,
240,4,1,0,"Boult to Watson, no run","short of a length and shape into the body. Late cut straight to wide slip, on the bounce",,,FALSE,FALSE,FALSE,FALSE,"[{'id': '8180', 'name': 'Shane Watson', 'runs': 0, 'balls': 3}, {'id': '237095', 'name': 'Murali Vijay', 'runs': 1, 'balls': 1}]","[{'id': '277912', 'name': 'Trent Boult', 'overs': 0.4, 'maidens': 0, 'runs': 1, 'wickets': 0}, {'overs': 0, 'maidens': 0, 'runs': 0, 'wickets': 0}]","{'id': '226053', 'balls': 4, 'runs': 1, 'wickets': 0, 'team': {'name': 'Chennai Super Kings', 'shortName': 'CSK'}}",1.60E+12,,
230,3,1,0,"Boult to Watson, no run","length on off, defended into the covers off the back foot",,,FALSE,FALSE,FALSE,FALSE,"[{'id': '8180', 'name': 'Shane Watson', 'runs': 0, 'balls': 2}, {'id': '237095', 'name': 'Murali Vijay', 'runs': 1, 'balls': 1}]","[{'id': '277912', 'name': 'Trent Boult', 'overs': 0.3, 'maidens': 0, 'runs': 1, 'wickets': 0}, {'overs': 0, 'maidens': 0, 'runs': 0, 'wickets': 0}]","{'id': '226053', 'balls': 3, 'runs': 1, 'wickets': 0, 'team': {'name': 'Chennai Super Kings', 'shortName': 'CSK'}}",1.60E+12,,
220,2,1,0,"Boult to Watson, no run",full and curving in from wide outside off. Looks for the booming cover drive but it's off the inside of the bat,,,FALSE,FALSE,FALSE,FALSE,"[{'id': '8180', 'name': 'Shane Watson', 'runs': 0, 'balls': 1}, {'id': '237095', 'name': 'Murali Vijay', 'runs': 1, 'balls': 1}]","[{'id': '277912', 'name': 'Trent Boult', 'overs': 0.2, 'maidens': 0, 'runs': 1, 'wickets': 0}, {'overs': 0, 'maidens': 0, 'runs': 0, 'wickets': 0}]","{'id': '226053', 'balls': 2, 'runs': 1, 'wickets': 0, 'team': {'name': 'Chennai Super Kings', 'shortName': 'CSK'}}",1.60E+12,,
210,1,1,1,"Boult to Vijay, 1 run","length at middle stump, slight wobble but not big movement. Keeps the front pad out of the way and taps to mid-on",<p>Trent Boult with a wide slip against M Vijay</p>,,FALSE,FALSE,FALSE,FALSE,"[{'id': '237095', 'name': 'Murali Vijay', 'runs': 1, 'balls': 1}, {'id': '8180', 'name': 'Shane Watson', 'runs': 0, 'balls': 0}]","[{'id': '277912', 'name': 'Trent Boult', 'overs': 0.1, 'maidens': 0, 'runs': 1, 'wickets': 0}, {'overs': 0, 'maidens': 0, 'runs': 0, 'wickets': 0}]","{'id': '226053', 'balls': 1, 'runs': 1, 'wickets': 0, 'team': {'name': 'Chennai Super Kings', 'shortName': 'CSK'}}",1.60E+12,,
